people,lat,lon
Albanian,41.3,19.8
Arabic,24.7,46.7
Armenian,40.2,44.5
Basque,43.3,-2.0
Bosnian,43.9,18.4
Bulgarian,42.7,23.3
Catalan,41.4,2.2
Chinese,34.5,110.0
Croatian,45.8,16.0
Czech,50.1,14.4
Danish,55.7,12.6
Dutch,52.4,4.9
English,52.5,-1.5
Estonian,59.4,24.8
Filipino,14.6,121.0
Finnish,61.5,25.7
French,47.0,2.5
German,51.0,10.0
Greek,38.0,23.7
Hawaiian,20.8,-156.3
Hindi,26.8,80.9
Hungarian,47.5,19.1
Icelandic,64.9,-19.0
Indonesian,-6.2,106.8
Irish,53.4,-8.0
Italian,42.8,12.8
Japanese,36.2,138.3
Korean,36.5,127.8
Latvian,56.9,24.1
Lithuanian,55.2,23.9
Multi (EU),48.2,7.6
Norwegian,61.0,8.5
Persian,32.4,53.7
Polish,52.1,19.4
Portuguese,39.6,-8.0
Romanian,45.9,25.0
Russian,56.0,38.0
Scottish Gaelic,57.3,-4.5
Serbian,44.0,20.9
Slovak,48.7,19.7
Spanish,40.2,-3.7
Swedish,62.0,15.0
Telugu,16.5,79.0
Turkish,39.0,35.0
Ukrainian,49.0,31.5
Vietnamese,16.0,107.8
Welsh,52.3,-3.7
Maori,-38.5,176.0
Swahili,-6.8,39.2
Yoruba,7.4,3.9
Hausa,11.0,8.5
Zulu,-28.5,30.9
Amharic,9.0,38.7
Mongolian,47.9,106.9
Thai,15.8,101.0
Burmese,19.7,96.1
Malay,3.1,101.7
Bengali,23.7,90.4
Tamil,11.1,78.7
Latin,41.9,12.5
Georgian,41.7,44.8
Azerbaijani,40.4,49.9
Kazakh,48.0,66.9
Uzbek,41.3,69.2
Hebrew,31.8,35.2
Egyptian,30.0,31.2
Berber,31.8,-7.1
Bihari,25.6,85.1
