row_id,people,english_text,back_translated_to_source,meaning_preserved,notes
0,Spanish,English equivalent: You must meet roughness with roughness.,,,
1,English,Every cloud has a silver lining.,,,
2,Latin,"Nulla Poena Sine Lege. E.j. Brill, Leiden 1934, Brill Archive.",,,
3,Japanese,The truth hurts.,,,
4,Spanish,"Strauss, Emmanuel (1998).",,,
5,Romanian,English equivalent: There is no smoke without.,,,
6,English,"Whose house is of glass, must not throw stones at another.",,,
7,Spanish,"English equivalent: Preachers say: do as I say, not as i do.",,,
8,English,Meaning: The law must constantly be updated.,,,
9,English,Meaning: Be sure to take breaks from work and do something entertaining.,,,
10,English,"Sanda, Akin A (2001).",,,
11,Spanish,Translate: He who asks does not get to choose.,,,
12,English,Where there's muck there's brass.,,,
13,English,Never trouble trouble 'til trouble troubles you.,,,
14,English,"Kindness, like grain, increase by sowing.",,,
15,Spanish,English equivalent: A drowning man plucks at a straw.,,,
16,Latin,"""Even if the powers are missing, the will deserves praise"" (",,,
17,Turkish,English equivalent: Money opens all doors except those to heaven.,,,
18,Latin,Forbidden fruit is sweetest.,,,
19,Spanish,"English equivalent: Do as you may, if you can't do as you could.",,,
20,English,The pen is mightier than the sword.,,,
21,Spanish,"Keating, Walter (1859).",,,
22,Latin,The sweetest flesh is near the bones.,,,
23,Spanish,"Write down the advice of him who loves you, though you like it not at present.",,,
24,English,A burnt child dreads the fire.,,,
25,Latin,"Translation: ""If you want peace, prepare for war."".",,,
26,Latin,English equivalent: Every little helps.,,,
27,Turkish,"English equivalent: Well begun, is half done.",,,
28,Latin,Boys will be boys.,,,
29,Latin,"Punishment is lame, but it comes.",,,
30,English,"Granger, P. (2011).",,,
31,Arabic,Riches have disclosed in thy character the bad qualities formerly hidden by thy poverty.,,,
32,Latin,"""Whatever is said in Latin seems profound.""",,,
33,English,Meaning: Trust makes way for treachery.,,,
34,Spanish,A fool is ever laughing.,,,
35,Latin,"Translation: ""He who wishes to give little shouldn't ask for much.”.",,,
