row_id,people,original_text_if_available,normalized_used_for_clustering,is_canonical_correct,notes
0,Spanish,,English equivalent: You must meet roughness with roughness.,,
1,English,,Every cloud has a silver lining.,,
2,Latin,,"Nulla Poena Sine Lege. E.j. Brill, Leiden 1934, Brill Archive.",,
3,Japanese,良薬口に苦し,The truth hurts.,,
4,Spanish,,"Strauss, Emmanuel (1998).",,
5,Romanian,,English equivalent: There is no smoke without.,,
6,English,,"Whose house is of glass, must not throw stones at another.",,
7,Spanish,,"English equivalent: Preachers say: do as I say, not as i do.",,
8,English,,Meaning: The law must constantly be updated.,,
9,English,,Meaning: Be sure to take breaks from work and do something entertaining.,,
10,English,,"Sanda, Akin A (2001).",,
11,Spanish,,Translate: He who asks does not get to choose.,,
12,English,,Where there's muck there's brass.,,
13,English,,Never trouble trouble 'til trouble troubles you.,,
14,English,,"Kindness, like grain, increase by sowing.",,
15,Spanish,,English equivalent: A drowning man plucks at a straw.,,
16,Latin,"Ut desint vires, tamen est laudanda voluntas","""Even if the powers are missing, the will deserves praise"" (",,
17,Turkish,,English equivalent: Money opens all doors except those to heaven.,,
18,Latin,Dulce pomum quum abest custos.,Forbidden fruit is sweetest.,,
19,Spanish,,"English equivalent: Do as you may, if you can't do as you could.",,
20,English,,The pen is mightier than the sword.,,
21,Spanish,,"Keating, Walter (1859).",,
22,Latin,"Dulcior illa sapit caro, quae magis ossibus haeret.",The sweetest flesh is near the bones.,,
23,Spanish,"Consejo de quien bien te quiere, aunque te parezca mal, escríbele.","Write down the advice of him who loves you, though you like it not at present.",,
24,English,,A burnt child dreads the fire.,,
25,Latin,,"Translation: ""If you want peace, prepare for war."".",,
26,Latin,,English equivalent: Every little helps.,,
27,Turkish,,"English equivalent: Well begun, is half done.",,
28,Latin,Sunt pueri pueri pueri puerilia tractant,Boys will be boys.,,
29,Latin,Pede poena claudo.,"Punishment is lame, but it comes.",,
30,English,,"Granger, P. (2011).",,
31,Arabic,,Riches have disclosed in thy character the bad qualities formerly hidden by thy poverty.,,
