cluster,distinct_cultures,distinct_families,distinct_regions,families_percentile_vs_random,regions_percentile_vs_random
1,1,1,1,54.5,54.5
2,1,1,1,56.0,56.0
3,1,1,1,56.5,56.5
4,2,1,1,21.25,21.0
5,1,1,1,57.5,57.5
6,1,0,0,6.5,6.5
7,1,0,0,7.0,7.0
8,1,1,1,57.75,57.75
9,1,1,1,56.0,56.0
10,1,1,1,56.5,56.5
11,1,1,1,57.0,57.0
12,1,1,1,55.0,55.0
13,1,1,1,57.75,57.75
14,1,0,0,5.75,5.75
15,1,1,1,57.5,57.5
16,1,1,1,57.5,57.5
17,1,1,1,56.25,56.25
18,1,1,1,56.75,56.75
19,1,1,1,19.75,20.25
20,1,1,1,56.75,56.75
21,1,1,1,57.5,57.5
22,1,0,0,7.0,7.0
23,1,1,1,55.75,55.75
24,1,1,1,57.0,57.0
25,1,0,0,5.75,5.75
26,1,0,0,4.75,4.75
27,1,1,1,58.75,58.75
28,1,1,1,56.75,56.75
29,1,1,1,59.25,59.25
30,1,1,1,56.0,56.0
31,1,1,1,58.0,58.0
32,1,1,1,55.5,55.5
33,1,1,1,58.75,58.75
34,1,1,1,56.5,56.5
35,1,1,1,58.25,58.25
36,1,0,0,6.25,6.25
37,1,1,1,56.75,56.75
38,1,1,1,55.5,55.5
39,1,1,1,55.75,55.75
40,1,1,1,55.75,55.75
41,1,1,1,55.25,55.25
42,1,0,0,5.5,5.5
43,1,1,1,56.25,56.25
44,1,1,1,56.25,56.25
45,1,1,1,56.75,56.75
46,1,1,1,54.5,54.5
47,1,1,1,56.75,56.75
48,1,1,1,56.75,56.75
49,1,1,1,56.25,56.25
50,1,1,1,56.25,56.25
51,1,1,1,55.25,55.25
52,1,1,1,56.5,56.5
53,1,1,1,55.75,55.75
54,1,1,1,57.5,57.5
55,1,1,1,57.25,57.25
56,1,1,1,54.0,54.0
57,1,1,1,58.25,58.25
58,1,1,1,56.25,56.25
59,1,1,1,54.75,54.75
60,1,1,1,58.25,58.25
61,1,1,1,55.25,55.25
62,1,1,1,59.0,59.0
63,2,1,1,16.25,16.5
64,3,2,2,8.75,11.75
65,1,0,0,6.5,6.5
66,1,1,1,57.75,57.75
67,1,1,1,57.0,57.0
68,3,2,2,38.0,37.75
69,4,2,3,19.5,60.5
70,1,1,1,59.0,59.0
71,1,1,1,56.5,56.5
72,1,1,1,57.25,57.25
73,1,1,1,57.0,57.0
74,1,0,0,4.5,4.5
75,1,1,1,55.5,55.5
76,1,1,1,57.5,57.5
77,1,1,1,57.25,57.25
78,2,1,1,20.75,20.75
79,1,1,1,54.75,54.75
80,1,1,1,55.75,55.75
81,1,1,1,57.25,57.25
82,1,1,1,56.5,56.5
83,1,1,1,56.75,56.75
84,1,1,1,55.25,55.25
85,1,0,0,6.25,6.25
86,1,0,0,7.5,7.5
87,1,0,0,5.0,5.0
88,1,0,0,7.0,7.0
89,1,1,1,55.25,55.25
90,1,1,1,56.0,56.0
91,3,1,2,7.25,41.0
92,1,1,1,57.0,57.0
93,1,0,0,6.0,6.0
94,1,0,0,5.0,5.0
95,1,0,0,6.0,6.0
96,1,1,1,56.25,56.25
97,1,1,1,58.25,58.25
98,1,1,1,53.0,53.0
99,1,1,1,56.0,56.0
100,1,1,1,55.5,55.5
101,1,1,1,58.0,58.0
102,1,0,0,6.0,6.0
103,1,0,0,7.0,7.0
104,1,1,1,57.5,57.5
105,1,1,1,56.5,56.5
106,1,1,1,56.5,56.5
107,1,1,1,56.0,56.0
108,1,1,1,57.5,57.5
109,1,1,1,56.25,56.25
110,1,1,1,56.25,56.25
111,1,1,1,55.75,55.75
112,1,1,1,55.75,55.75
113,1,1,1,56.25,56.25
114,1,1,1,57.75,57.75
115,1,1,1,56.0,56.0
116,1,1,1,58.25,58.25
117,2,1,1,1.25,1.5
118,1,1,1,54.25,54.25
119,1,1,1,55.25,55.25
120,1,1,1,57.75,57.75
121,1,1,1,56.0,56.0
122,1,1,1,57.0,57.0
123,2,1,1,2.0,2.25
124,1,1,1,57.0,57.0
125,1,1,1,54.75,54.75
126,1,1,1,16.5,15.5
127,2,2,2,40.75,41.0
128,3,2,3,21.75,63.0
129,1,1,1,55.25,55.25
130,2,1,2,2.25,19.75
131,1,1,1,20.5,20.25
132,1,1,1,55.0,55.0
133,1,0,0,0.75,0.75
134,1,0,0,5.25,5.25
135,1,0,0,7.0,7.0
136,1,0,0,6.5,6.5
137,1,0,0,6.25,6.25
138,1,1,1,56.25,56.25
139,1,1,1,55.0,55.0
140,1,1,1,57.0,57.0
141,1,1,1,56.5,56.5
142,1,1,1,57.5,57.5
143,1,0,0,7.25,7.25
144,1,0,0,1.75,1.75
145,1,1,1,55.25,55.25
146,1,0,0,8.5,8.5
147,1,0,0,0.0,0.0
148,1,0,0,4.75,4.75
149,1,0,0,5.25,5.25
150,1,1,1,55.0,55.0
151,1,1,1,56.0,56.0
152,1,0,0,0.0,0.0
153,1,0,0,7.0,7.0
154,1,0,0,5.75,5.75
155,1,0,0,6.25,6.25
156,1,1,1,55.75,55.75
157,1,0,0,6.5,6.5
158,1,0,0,6.75,6.75
159,2,2,2,68.5,68.25
160,1,1,1,56.0,56.0
161,2,1,1,2.75,1.5
162,3,2,3,35.75,81.25
163,1,1,1,57.0,57.0
164,1,1,1,57.75,57.75
165,1,1,1,55.25,55.25
166,1,0,0,1.5,1.5
167,1,1,1,55.25,55.25
168,1,1,1,56.5,56.5
169,1,0,0,6.5,6.5
170,1,0,0,0.5,0.5
171,1,1,1,55.0,55.0
172,1,0,0,1.25,1.25
173,1,1,1,18.25,20.0
174,1,0,0,0.5,0.5
175,2,2,2,38.0,38.75
176,1,0,0,6.75,6.75
177,1,1,1,56.75,56.75
178,1,1,1,58.0,58.0
179,1,1,1,55.25,55.25
180,1,1,1,57.0,57.0
181,1,1,1,56.5,56.5
182,1,1,1,58.5,58.5
183,1,1,1,55.0,55.0
184,1,1,1,19.5,19.25
185,1,1,1,56.0,56.0
186,1,1,1,56.75,56.75
187,1,1,1,57.0,57.0
188,2,1,2,1.25,20.0
189,1,1,1,55.75,55.75
190,1,1,1,58.0,58.0
191,1,1,1,55.25,55.25
192,1,1,1,57.25,57.25
193,1,1,1,55.5,55.5
194,1,1,1,57.0,57.0
195,1,1,1,58.5,58.5
196,1,1,1,55.75,55.75
197,1,0,0,0.5,0.5
198,1,1,1,19.0,18.5
199,1,1,1,56.5,56.5
200,1,1,1,57.5,57.5
201,1,1,1,55.75,55.75
202,1,1,1,56.0,56.0
203,1,1,1,56.5,56.5
204,1,1,1,55.5,55.5
205,1,1,1,54.25,54.25
206,1,1,1,56.5,56.5
207,1,1,1,56.75,56.75
208,1,1,1,58.5,58.5
